title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,created_by,created_at,last_modified_by,last_modified_at,revision
"Tian wen li fa juan (Zhongguo shao shu min zu ke xue ji shu shi cong shu)",null,null,null,null,null,null,null,null,"7806194606","9787806194607",null,"98465187",null,null,null,null,null,null,null,"/books/OL13100168M",150,"13",17,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Animal Biology and Care",null,null,null,null,null,null,null,null,null,"9781118276037",null,null,null,null,"English",null,null,null,null,"/books/OL33540275M",130,"14",60,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Animal Biology and Care",null,null,null,null,null,null,null,null,null,"9781118874950",null,null,null,null,"English",null,null,null,null,"/books/OL33963372M",130,"14",60,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Dead Center",null,null,null,null,null,null,null,null,null,"9781682193341",null,null,null,null,"English",null,null,null,null,"/books/OL37580145M",30,"15",215,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Oil","a plain man's guide to the world's energy crisis",null,"[5], iii, 178 p. ;",null,null,null,null,null,"0851170846",null,null,"76351227",null,null,"English",null,null,null,null,"/books/OL4924902M",30,"16",145,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Ramón María Del Valle-Inclán - Sonata de Estío",null,null,"60",null,null,null,null,"0.100",null,"9781090732491",null,null,null,null,"Spanish",null,null,null,null,"/books/OL41119802M",130,"4",227,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"The chronicles of H.M.S. 'Duncan' 1935 to 1938","8th D.F. China Station",null,"142 pages",null,null,null,null,null,null,null,null,null,null,null,"English",null,null,null,null,"/books/OL43532200M",110,"17",13,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Love on Trial",null,null,null,null,null,null,null,"0.545",null,"9781511447928",null,null,null,null,"English",null,null,null,null,"/books/OL55911385M",130,"10",225,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Sharks!","From fear to fascination",null,null,null,null,null,null,null,"1893698025","9781893698024",null,null,null,null,"English",null,null,null,null,"/books/OL12218653M",50,"18",171,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Samoupravlenie i upravlenie v severnom promyshlennom regione","osobennosti i politicheskie problemy",null,"122 p.",null,null,null,null,null,"5815501530",null,null,"2004470450",null,null,"Russian",null,null,null,null,"/books/OL31631465M",30,"19",108,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Jojo 3 Student's Book",null,null,null,null,null,null,null,null,"8853613823","9788853613820",null,null,null,null,null,null,null,null,"13748091","/books/OL47288140M",65,"20",137,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
"Techniques d'analyse et d'évaluation des projets d'investissements ...",null,null,"112 p.",null,null,null,null,null,null,null,null,null,null,null,"French",null,null,null,null,"/books/OL14947131M",110,"21",83,"a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:55:20",1
