title,subtitle,description,pagination,number_of_pages,volumns,physical_format,physical_dimensions,weight,isbn_10,isbn_13,oclc_number,lccn_number,dewey_number,lc_classifications,language,publish_date,publish_country,publish_place,cover,ol_key,grade,publisher_id,work_id,last_created_by,last_created_at,last_modified_by,last_modified_at
'Islam in the West','critical concepts in Islamic studies','In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ("Regions and History") includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ("Social and Economic Issues") assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ("Politics and Law") gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, "Islam in the West" is an essential new addition to Routledge's "Critical Concepts in Islamic Studies" series.','v. cm.',null,null,null,null,null,null,'9780415481243',null,'2010010653',null,null,'English',null,null,null,null,'/books/OL24099643M',155,'232','465360','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Islam in the West','critical concepts in Islamic studies','In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ("Regions and History") includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ("Social and Economic Issues") assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ("Politics and Law") gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, "Islam in the West" is an essential new addition to Routledge's "Critical Concepts in Islamic Studies" series.','v. cm.',null,null,null,null,null,null,'9780415548106',null,'2010010653',null,null,'English',null,null,null,null,'/books/OL24099643M',155,'232','465360','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Islam in the West','critical concepts in Islamic studies','In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ("Regions and History") includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ("Social and Economic Issues") assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ("Politics and Law") gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, "Islam in the West" is an essential new addition to Routledge's "Critical Concepts in Islamic Studies" series.','v. cm.',null,null,null,null,null,null,'9780415548113',null,'2010010653',null,null,'English',null,null,null,null,'/books/OL24099643M',155,'232','465360','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Islam in the West','critical concepts in Islamic studies','In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ("Regions and History") includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ("Social and Economic Issues") assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ("Politics and Law") gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, "Islam in the West" is an essential new addition to Routledge's "Critical Concepts in Islamic Studies" series.','v. cm.',null,null,null,null,null,null,'9780415548120',null,'2010010653',null,null,'English',null,null,null,null,'/books/OL24099643M',155,'232','465360','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Islam in the West','critical concepts in Islamic studies','In recent decades, the number of Muslims in the West has increased rapidly, and interesting transformations of Islam have taken place - to some extent with repercussions in Islamic or predominantly Muslim countries in Asia and Africa. This new four-volume Major Work collection from Routledge helps to make sense of the burgeoning scholarship in this area. Volume I ("Regions and History") includes studies on the historical development of Islam, as well as key work on the current situation in various regions and countries. Volume II focuses on religion and culture, while Volume III ("Social and Economic Issues") assembles vital materials on topics such as gender, family structures, class, poverty, and health. The final volume in the collection ("Politics and Law") gathers the best work on, among other things, Muslim involvement in political life; Muslim presence in the public sphere; the media coverage of Islam; and, issues of integration and so-called 'Islamophobia'. Legal issues covered include laws on freedom of religion, minority rights, separate legislation, and debates about veils and halal slaughter. With a full index, together with comprehensive introductions newly written by the editors, which place the collected material in its historical and intellectual context, "Islam in the West" is an essential new addition to Routledge's "Critical Concepts in Islamic Studies" series.','v. cm.',null,null,null,null,null,null,'9780415548137',null,'2010010653',null,null,'English',null,null,null,null,'/books/OL24099643M',155,'232','465360','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Bride on the loose : Married after breakfast',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,'7914134','/books/OL26247371M',115,null,'18020194','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'The Official MTO Bus Handbook',null,null,null,null,null,null,null,null,'1486846947','9781486846948',null,null,null,null,null,null,null,null,null,'/books/OL53538465M',140,null,'261794','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'My Parish Is Revolting',null,null,null,null,null,null,null,null,null,'9780340199817',null,null,null,null,'English',null,null,null,null,'/books/OL53232389M',130,'863','18203673','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'SHIP THAT CHANGED THE WORLD','The Escape of the Goeben to the Dardanelles in 1914',null,null,null,null,null,null,'13.6 ounces','1841580627','9781841580623',null,null,null,null,'English',null,null,null,'886579','/books/OL8920593M',165,'26569','5738148','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Plant Tissue Culture Concepts and Laboratory Exercises, Second Edition',null,null,null,null,null,null,null,'1.8 pounds','0849320291','9780849320293',null,null,null,null,'English',null,null,null,'1595833','/books/OL8259457M',165,'293','471576','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Oil','a guide through the total energy jungle',null,'ii, 182 p. ;',null,null,null,null,null,'0876450907',null,null,'84250144',null,null,'English',null,null,null,'10007360','/books/OL2994377M',45,'37874','5734756','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Collecting Vintage Football Cards - a Complete Guide with Checklists',null,null,null,null,null,null,null,'0.405',null,'9781365212574',null,null,null,null,'English',null,null,null,null,'/books/OL40039845M',130,'9856','70988','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'9 Lieder, Mutter Courage und ihre Kinder',null,null,'1 vocal score (32 p.)',null,null,null,null,null,null,null,null,null,null,null,'German',null,null,null,null,'/books/OL50372670M',110,'59612','17508740','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'The Ship That Changed the World','The Escape of the Goeben to the Dardanelles in 1914',null,null,null,null,null,null,null,'034035027X','9780340350270',null,'gb85023646',null,null,null,null,null,null,null,'/books/OL9784815M',150,'860','5738148','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Advaitic sādhanā','or The yoga of direct liberation : containing English translation of Māṇḍūkyopaniṣad and Ātmabodha',null,'92 p. ;',null,null,null,null,null,null,null,null,'76901645',null,null,'English',null,null,null,null,'/books/OL4525302M',10,'7664','257914','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Applied Economics',null,null,null,null,null,null,null,'0.109',null,'9781508629962',null,null,null,null,'English',null,null,null,null,'/books/OL56013651M',30,'34183','3368289','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Santa Rogelia',null,null,'xv, [1], 188 p. incl. front. (facsim.) illus. (map)',null,null,null,null,null,null,null,null,null,null,null,'Spanish',null,null,null,null,'/books/OL22349325M',10,'89437','16813053','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Typographia','or, the Printers' instructor',null,'2 v.',null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL52294970M',10,'176605','17071448','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'provincia perdida',null,null,'168 p. :',null,null,null,null,null,null,null,null,null,null,null,'Spanish',null,null,null,null,'/books/OL20403714M',10,'161238','82563','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Bureaucrats Under Stress','Administrators and Administration in an Indian State',null,null,null,null,null,null,null,'0520012542','9780520012547',null,null,null,null,null,null,null,null,null,'/books/OL43355550M',150,'592','17203233','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Werner Elerts apologetisches Frühwerk',null,null,'xiv, 376 p. ;',null,null,null,null,null,'3110194457','9783110194456',null,'2008384501',null,null,'German',null,null,null,'8734352','/books/OL24532038M',65,'10342','6216050','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Unimpressed Girls',null,null,null,null,null,null,null,'0.341',null,'9781389428722',null,null,null,null,'English',null,null,null,null,'/books/OL51872846M',30,'31420','1879162','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Corso d'italiano',null,null,null,null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL20217500M',10,'421482','138052','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Animal Biology and Care',null,null,null,null,null,null,null,null,'111827606X','9781118276068',null,'2014000060',null,null,null,null,null,null,'9013251','/books/OL27557843M',165,'29259','5748544','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Santa Rogelia','(de la leyenda de oro)',null,'295 p. ;',null,null,null,null,null,null,null,null,null,null,null,'Spanish',null,null,null,null,'/books/OL16396831M',10,'786632','16813053','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'La Comunidad andina',null,null,'x, 290 p. :',null,null,null,null,null,null,null,null,'82193690',null,null,'Spanish',null,null,null,null,'/books/OL3090989M',10,'2081879','1963251','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'The tower.',null,null,'233p.,19cm',null,null,null,null,null,'0713802022',null,null,null,null,null,'English',null,null,null,null,'/books/OL21671576M',30,'12083','19761410','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Studien zur Geschichte des Bistums Chur (451-2001)',null,null,'176 p. :',null,null,null,null,null,'3727813660',null,null,null,null,null,'German',null,null,null,null,'/books/OL22605825M',30,'63443','32195','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Surprise','embrace the unpredictable and engineer the unexpected','"Surprise: Embrace the Unpredictable and Engineer the Unexpected is a fascinating look at how we can handle and harness surprise in our work, relationships, and everyday lives.  Pop Quiz!     Do you prefer when:  A) Things go according to plan?  B) When the unexpected happens?     Most of us pick control and predictability. Yet research reveals a counterintuitive truth: surprise is the key that unlocks growth, innovation, and connection. It is also the secret ingredient in our best memories.  Through colorful narratives and compelling scientific findings, authors Tania Luna and Dr. LeeAnn Renninger shine a light on the world's least understood and most intriguing emotion. They reveal how shifting our perception of surprise lets us thrive in the face of uncertainty. And they show us how surprise acts as a shortcut that turns a typical product into a meaningful experience, a good idea into a viral one, awkward small talk into engaging conversation, and daily life into an adventure. "--','xxiii, 246 pages',null,null,null,null,null,'0399169822','9780399169823',null,'2014043668',null,null,'English',null,null,null,'12488864','/books/OL27179180M',80,null,'18766691','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Fiscal Decentralization in Asia','Challenges and Opportunities',null,null,null,null,null,null,null,null,'9789290923053',null,null,null,null,'English',null,null,null,null,'/books/OL33536103M',130,'7298','55806','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'GUIDE de SURVIE Dans un MONDE de FOUS','Un Art de Vivre Personnel',null,'161',null,null,null,null,'0.300',null,'9798683067120',null,null,null,null,'French',null,null,null,null,'/books/OL48299631M',130,'37241','2163649','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Materialy k konferent︠s︡ii "I︠a︡zyk kak znakovai︠a︡ sistema osobogo roda."',null,null,'95 pages',null,null,null,null,null,null,null,null,null,null,null,'Russian',null,null,null,null,'/books/OL52306074M',10,'31233','257948','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Science, technology and everyday life, 1870-1950',null,null,'391p. :',null,null,null,null,null,'0415000378',null,null,null,null,null,'English',null,null,null,null,'/books/OL21392644M',130,'269944','8400946','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Science, technology and everyday life, 1870-1950',null,null,'391p. :',null,null,null,null,null,'0415035570',null,null,null,null,null,'English',null,null,null,null,'/books/OL21392644M',130,'269944','8400946','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Erotic Performance and Spectatorship','New Frontiers in Erotic Dance',null,null,null,null,null,null,null,null,'9781138932364',null,'2016025055',null,null,'English',null,null,null,null,'/books/OL28837735M',130,'1063','40939','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Aciklamali edebiyat terimleri sozlugu (Egitime yardimci kitaplar)',null,null,null,null,null,null,null,null,'9754052913','9789754052916',null,null,null,null,'Turkish',null,null,null,null,'/books/OL9185218M',50,'79709','20646061','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Animal Biology and Care',null,null,null,null,null,null,null,'1.5 pounds','0632050543','9780632050543',null,'99038885',null,null,'English',null,null,null,'1328767','/books/OL9873625M',165,'2876','5748544','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'use of programmed instruction and educational technology in British industry, 1973',null,null,'32p.',null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL21533886M',110,'2223506','1898308','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Evaluation of alternative market organizations for Hawaii's beef industry','a study of the impact of size, location, and concentration',null,'ii, 41 p. ;',null,null,null,null,null,null,null,null,'84000587',null,null,'English',null,null,null,null,'/books/OL2838814M',110,'341880','46224','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'The Writings of George Washington From the Original Manuscript Sources 1745 to 1799 Volume 4 October, 1775 to April, 1776',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,'/books/OL49236905M',100,null,'17357353','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Three squeaky dragons',null,null,null,null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL14540469M',110,'75619','16810944','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Monster Men Illustrated',null,null,'209',null,null,null,null,'0.332',null,'9798477482504',null,null,null,null,'English',null,null,null,null,'/books/OL38443122M',130,'37241','1099513','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Undulating la Roux',null,null,null,null,null,null,null,'0.227',null,'9781591523017',null,null,null,null,'English',null,null,null,'14785761','/books/OL38081112M',145,'37550','5819962','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Akhira','El Pescador Del Mar Rojo',null,'128',null,null,null,null,'0.305',null,'9798593405531',null,null,null,null,'Spanish',null,null,null,null,'/books/OL42311629M',30,'37241','16596099','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Classical electricity and magnetism',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,'/books/OL44779043M',110,'7100','3923956','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Fawākih al-ʻadīdah fī al-masāʻil al-mufīdah',null,null,'448 p. :',null,null,null,null,null,null,null,null,null,null,null,'Arabic',null,null,null,null,'/books/OL22424358M',10,'49822','1636262','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Von Pfeil und Bogen Zum »Digitalen Bogen«','Die Indigenen Brasiliens und das Internet',null,'256',null,null,null,null,null,null,'9783839410493',null,null,null,null,'German',null,null,null,null,'/books/OL35818240M',30,'36607','17610507','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Ramón María Del Valle-Inclán - Sonata de Estío',null,null,'58',null,null,null,null,'0.136',null,'9781098879259',null,null,null,null,'Spanish',null,null,null,null,'/books/OL41166963M',130,'37241','3171087','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Los muertos de Hebron',null,null,'16 p.',null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,'/books/OL47951473M',10,'647','24433230','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Engineering','a legal liability? : developments in the law of negligence affecting engineers.',null,null,null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL16755059M',10,'2331377','16821606','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Fawākih al-'adīdah fī al-masā'il al-mufīdah',null,null,null,null,null,null,null,null,null,null,null,null,null,null,'Arabic',null,null,null,null,'/books/OL21046004M',10,'49588','1636262','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Office 2000 (El Libro De)',null,null,null,null,null,null,null,null,'8441509174','9788441509177',null,null,null,null,'Spanish',null,null,null,null,'/books/OL13267249M',50,'6461','16509148','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Caroline Watkins.',null,null,'5 p.',null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL16037729M',10,'647','151411','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Commodity Futures Modernization ACT','Hearings Before the Subcommittee on General Farm Commodities and Risk Management of the Committee on Agriculture,',null,null,null,null,null,null,null,'0160705207','9780160705205',null,'2003373013',null,null,'English',null,null,null,null,'/books/OL10115675M',150,'115','1892617','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'La provincia perdida.','[Viñetas.',null,'168 p.',null,null,null,null,null,null,null,null,'61047461',null,null,'Spanish',null,null,null,null,'/books/OL5838972M',10,'161238','82563','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'al- Maʻārik al-ḥarbīyah ʻalá al-jabhah al-Miṣrīyah','Ḥarb Uktūbir 1973, al-ʻĀshir min Ramaḍān',null,'989 p. :',null,null,null,null,null,'9771471112',null,null,'89962057',null,null,'Arabic',null,null,null,null,'/books/OL1844077M',30,'256979','271163','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Patmutʻyun, gaghapʻarakhosutʻyun, tipabanutʻyun','eluytʻ 2007 tʻ. dektemberi 8-i hanrahavakʻum',null,'42 p. :',null,null,null,null,null,null,'9789994121076',null,'2009509702',null,null,null,null,null,null,null,'/books/OL23950767M',30,'1646836','17417','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Dead Center',null,null,null,null,null,null,null,null,null,'9781682193334',null,null,null,null,'English',null,null,null,null,'/books/OL37580147M',30,'47137','26758111','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Koreans in Japan',' Critical Voices from the Margin',null,null,null,null,null,null,null,'0415379393','9780415379397',null,null,null,null,'English',null,null,null,'1219449','/books/OL7493679M',165,'232','679348','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'The Cricket Flours Cookbook',null,null,null,null,null,null,null,null,null,'9781533386816',null,null,null,null,null,null,null,null,'14603092','/books/OL51212832M',145,'35792','8369445','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'L' imprescriptibilité des crimes de guerre et contre l'humanité','étude de droit international et de droit pénal comparé',null,'230 p. ;',null,null,null,null,null,'2800404299',null,null,'75507097',null,null,'French',null,null,null,'2171282','/books/OL4786305M',145,'22437','23166','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Sierra Sam's double',null,null,'30 p.',null,null,null,null,null,null,null,null,null,null,null,'English',null,null,null,null,'/books/OL53738056M',10,'63805','262438','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
